,pred,rel,labels,source,target
0,0,1,1,"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",cross
1,0,0,0,"Design : Crossed lines over the toytown tram : City transport could soon be back on the right track , says Jonathan Glancey",say
2,0,0,0,"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",know
3,0,0,0,"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",shake
4,0,0,0,"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",rattle
5,0,0,0,"MODERN trams , as most continental Europeans know , neither shake nor rattle , nor do they roll .",roll
6,0,0,0,"Sleek , solidly built , gentle on the environment , they are often an ideal form of city transport .",build
7,1,1,1,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",exert
8,1,1,1,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",slither
9,1,0,0,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",flash
10,1,0,0,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates , flashing arcs of lightning as they switch tracks on winter nights .",switch
11,0,0,0,"Single-car , articulated or double-decker , trams are one of the most reliable and enduring forms of public transport invented .",invent
12,0,0,0,"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",replace
13,1,1,1,"Eventually they will be replaced , but more than 60 years on they run with the rhythmic reliability of a Swiss watch .",run
14,0,0,0,Last month it was announced that Britain will get its first new-wave trams in 1991 .,announce
15,0,1,1,Last month it was announced that Britain will get its first new-wave trams in 1991 .,get
16,0,1,1,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",destine
17,1,1,1,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",run
18,1,1,1,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",relieve
19,0,1,1,"Destined to run in Manchester , they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre , outlying suburbs and satellite towns of Bury , Altrincham , Salford , Oldham and Rochdale .",reduce
20,0,0,0,"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",forget
21,1,0,0,"In Britain , with the main exception of Blackpool ( not forgetting the single-deckers of the Isle of Man and Llandudno ) , trams had been largely relegated to the history books .",relegate
22,0,0,0,"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",see
23,0,1,1,"Otherwise , the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies .",work
